Model,Type,Stage,Unit,CO2,"CO2 (VOC, CO, CO2)",CH4,N2O,GHG,VOC,CO,NOx,PM10,PM2.5,SOx,BC,OC
BEV300_NMC622,Fixed,Car.Cu.Mine,g,20742.33622,20782.48426,37.92498465,0.28049917,21994.56607,2.668728151,20.25577222,19.2035415,6.899539124,3.450359633,7.132395967,0.065557285,0.25481381
BEV300_NMC622,Fixed,Car.Cu.Prod,g,244444.2918,244833.5579,528.3870957,6.015647345,262279.3173,29.73721755,188.7359355,271.6829325,33.30453228,20.80220525,13910.73592,4.288655741,4.438556386
BEV300_NMC622,Fixed,Car.Remainder,g,6174794.763,6402158.148,16208.08196,149.875438,7058858.978,61103.78836,23496.61034,6442.86377,2955.347975,1421.224438,17673.67533,37.64160014,90.69000947
BEV300_NMC622,Fixed,Total,g,13375775.99,13615741,32895.19432,430.375956,14898688.82,62497.51424,28751.60857,16315.87079,6881.217849,3029.667595,143700.5594,109.8788126,243.9685809
BEV300_NMC811,Fixed,Battery.Cu.Mine,g,11915.04972,11938.11201,21.78530291,0.161127538,12634.3699,1.53300131,11.63555207,11.03111768,3.963312079,1.981994995,4.097072367,0.037658165,0.14637306
BEV300_NMC811,Fixed,Battery.Cu.Prod,g,140416.4825,140640.0891,303.5221514,3.455576866,150661.4815,17.08199221,108.415852,156.0632136,19.13116988,11.94944037,7990.763833,2.463538621,2.549646262
BEV300_NMC811,Fixed,Battery.Li.Prod,g,1532516.759,1534777.422,2613.26823,21.70287927,1618926.732,280.765143,881.7523445,2375.550422,348.3014314,252.4771009,2152.245023,30.45014073,62.56978222
BEV300_NMC811,Fixed,Battery.Graphite.Prod,g,605528.8325,606273.6531,1393.370765,13.24607343,651584.9855,148.5229022,179.4063386,1794.455764,711.8781619,354.9874293,9817.018717,2.631981614,5.357983341
BEV300_NMC811,Fixed,Battery.Ni.Mine,g,484930.0106,485717.8893,644.4794047,98.04033631,531032.9606,71.97466883,358.6275806,1482.711727,107.7077775,76.45874797,934.7912183,6.546401757,11.4971808
BEV300_NMC811,Fixed,Battery.Ni.Prod,g,2071660.012,2077602,4115.426137,177.2112767,2248025.772,496.4013965,2796.735347,3890.346362,1484.968575,813.2532488,168933.4101,20.90016396,44.56579248
BEV300_NMC811,Fixed,Battery.Mn.Mine,g,18517.986,0,38.9474136,0.332477109,0,2.246762859,10.35671691,13.93723677,73.75569829,37.00050717,8.748918614,0.0662646,0.296608462
BEV300_NMC811,Fixed,Battery.Co.Mine,g,32699.92177,32789.39204,40.1139899,0.799904261,34204.78637,11.31423722,34.49572257,79.03637898,926.9708961,99.80703021,1.807881752,3.324887752,0.99979748
